ROW,LOC_X,LOC_Y,CAT
347,-78.0,31.0,2
348,211.0,137.0,5
349,155.0,7.0,5
350,13.0,4.0,4
351,-7.0,69.0,4
352,-81.0,241.0,3
353,-46.0,52.0,4
354,28.0,167.0,3
355,-131.0,34.0,2
356,94.0,44.0,5
357,12.0,-5.0,4
358,241.0,0.0,5
359,2.0,255.0,3
360,45.0,69.0,4
361,-5.0,260.0,3
362,0.0,1.0,4
363,-19.0,7.0,4
364,-123.0,58.0,2
365,15.0,19.0,4
366,-147.0,7.0,2
367,-119.0,118.0,1
368,-117.0,157.0,1
369,0.0,1.0,4
370,9.0,17.0,4
371,-163.0,121.0,1
372,-18.0,9.0,4
373,23.0,9.0,4
374,-158.0,145.0,1
375,-2.0,9.0,4
376,1.0,17.0,4
377,-21.0,6.0,4
378,43.0,151.0,3
379,146.0,164.0,0
380,-139.0,82.0,2
381,-166.0,104.0,2
382,-182.0,167.0,1
383,118.0,235.0,0
384,94.0,148.0,0
385,-122.0,123.0,1
386,-16.0,4.0,4
387,-26.0,257.0,3
388,-168.0,11.0,2
389,-18.0,4.0,4
390,7.0,11.0,4
391,53.0,205.0,3
392,1.0,6.0,4
393,67.0,190.0,0
394,-70.0,260.0,3
395,0.0,1.0,4
396,-26.0,149.0,3
397,-168.0,72.0,2
398,-8.0,15.0,4
399,-160.0,75.0,2
400,-152.0,31.0,2
401,28.0,211.0,3
402,95.0,112.0,5
403,-146.0,60.0,2
404,18.0,257.0,3
405,143.0,135.0,0
406,2.0,31.0,4
407,-8.0,1.0,4
408,-5.0,0.0,4
409,4.0,3.0,4
410,10.0,-2.0,4
411,-188.0,0.0,2
412,-30.0,250.0,3
413,0.0,1.0,4
414,-204.0,189.0,1
415,6.0,1.0,4
416,-16.0,15.0,4
417,-8.0,4.0,4
418,-131.0,131.0,1
419,-15.0,194.0,3
420,18.0,6.0,4
421,-2.0,7.0,4
422,-155.0,97.0,2
423,228.0,25.0,5
424,-11.0,0.0,4
425,1.0,1.0,4
426,176.0,200.0,0
427,1.0,1.0,4
428,0.0,1.0,4
429,36.0,0.0,4
430,-106.0,142.0,1
431,24.0,19.0,4
432,2.0,41.0,4
433,-106.0,36.0,2
434,0.0,12.0,4
435,-152.0,52.0,2
436,4.0,254.0,3
437,4.0,0.0,4
438,-119.0,227.0,1
439,162.0,31.0,5
440,-150.0,195.0,1
441,-185.0,-2.0,2
442,233.0,-13.0,5
443,-147.0,219.0,1
444,0.0,1.0,4
445,-191.0,104.0,2
446,6.0,0.0,4
447,181.0,183.0,0
448,10.0,1.0,4
449,100.0,239.0,0
450,21.0,208.0,3
451,0.0,1.0,4
452,0.0,4.0,4
453,-84.0,56.0,2
454,0.0,1.0,4
455,0.0,83.0,4
456,0.0,85.0,4
457,-120.0,60.0,2
458,-235.0,-6.0,2
459,2.0,14.0,4
460,0.0,33.0,4
461,-2.0,11.0,4
462,0.0,-2.0,4
463,99.0,233.0,0
464,-5.0,252.0,3
465,-161.0,67.0,2
466,-59.0,244.0,3
467,122.0,276.0,0
468,-116.0,304.0,1
469,182.0,172.0,0
470,-193.0,162.0,1
471,-2.0,11.0,4
472,23.0,0.0,4
473,6.0,249.0,3
474,-109.0,143.0,1
475,-228.0,58.0,2
476,-188.0,159.0,1
477,-182.0,7.0,2
478,-11.0,1.0,4
479,-114.0,134.0,1
480,0.0,1.0,4
481,-198.0,148.0,1
482,122.0,217.0,0
483,0.0,1.0,4
484,-205.0,189.0,1
485,-196.0,192.0,1
486,-155.0,48.0,2
487,4.0,-3.0,4
488,166.0,66.0,5
489,-130.0,31.0,2
490,122.0,124.0,5
491,152.0,213.0,0
492,-5.0,19.0,4
493,-21.0,12.0,4
494,-5.0,6.0,4
495,2.0,293.0,3
496,-174.0,200.0,1
497,1.0,1.0,4
498,-82.0,244.0,3
499,0.0,1.0,4
500,138.0,124.0,5
501,-46.0,42.0,4
502,106.0,138.0,0
503,69.0,12.0,4
504,-16.0,306.0,3
505,2.0,9.0,4
506,-56.0,30.0,4
507,133.0,82.0,5
508,65.0,25.0,4
509,-193.0,183.0,1
510,-158.0,48.0,2
511,-164.0,213.0,1
512,-239.0,97.0,2
513,102.0,138.0,0
514,10.0,4.0,4
515,177.0,337.0,0
516,-194.0,167.0,1
517,-116.0,71.0,2
518,-199.0,58.0,2
519,-4.0,-2.0,4
520,106.0,48.0,5
521,31.0,82.0,4
522,2.0,15.0,4
523,-68.0,42.0,4
524,-172.0,184.0,1
525,89.0,230.0,0
526,0.0,1.0,4
527,17.0,-3.0,4
528,182.0,219.0,0
529,-213.0,137.0,1
530,-56.0,244.0,3
531,-19.0,3.0,4
532,-10.0,9.0,4
533,0.0,1.0,4
534,-194.0,142.0,1
535,0.0,1.0,4
536,13.0,3.0,4
537,-16.0,1.0,4
538,-177.0,165.0,1
539,-11.0,3.0,4
540,215.0,135.0,5
541,-15.0,0.0,4
542,-131.0,216.0,1
543,-5.0,285.0,3
544,9.0,7.0,4
545,-179.0,72.0,2
546,-207.0,138.0,1
547,-24.0,44.0,4
548,13.0,11.0,4
549,-8.0,12.0,4
550,0.0,1.0,4
551,17.0,148.0,3
552,144.0,195.0,0
553,77.0,244.0,0
554,-15.0,9.0,4
555,102.0,225.0,0
556,147.0,208.0,0
557,179.0,201.0,0
558,-38.0,23.0,4
559,-95.0,265.0,1
560,-177.0,52.0,2
561,110.0,230.0,0
562,-11.0,15.0,4
563,-92.0,14.0,2
564,108.0,129.0,0
565,0.0,12.0,4
566,-157.0,213.0,1
567,-11.0,7.0,4
568,18.0,3.0,4
569,-32.0,249.0,3
570,100.0,190.0,0
571,-221.0,121.0,1
572,127.0,116.0,5
573,-5.0,195.0,3
574,-35.0,1.0,4
575,1.0,17.0,4
576,0.0,1.0,4
577,-19.0,9.0,4
578,-108.0,137.0,1
579,-232.0,61.0,2
580,7.0,25.0,4
581,-120.0,235.0,1
582,-24.0,15.0,4
583,203.0,170.0,0
584,89.0,44.0,5
585,218.0,129.0,5
586,1.0,208.0,3
587,176.0,201.0,0
588,-142.0,131.0,1
